NAME                                  READY   STATUS    RESTARTS   AGE
bloaty-mcbloatface-58c98b98d8-2xcqs   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-4mchb   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-4nm74   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-5tfcf   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-676h4   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-67r8d   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-c2l52   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-csxcj   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-dlszq   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-gb2ws   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-kh74h   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-lqq99   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-nrvcj   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-wl7f6   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-zcdkk   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-zgxfb   1/1     Running   0          57s
bloaty-mcbloatface-58c98b98d8-zz9r6   1/1     Running   0          57s
